IPA,Alternative IPA,X-SAMPA,Description,Example,Viseme,Graphemes,Other Examples,Arpabet 1-letter,Arpabet 2-letter,Type,AltViseme,SimpleViseme
ə,,@,mid-central vowel,arena,@,"a, er, i, ar, our, ur","about, ladder, pencil, dollar, honour, augur , comma, about, system, complete",x,AX,Short Vowel,1,MID_CENTRAL_VOWEL
æ,,{,near open-front unrounded vowel,trap,a,"a, ai, au","cat, plaid, laugh, bat, pat, flat, family",@,AE,Short Vowel,1,OPEN_FRONT_VOWEL
ɑ,,A,open-back unrounded vowel,father,a,a,"arm , balm, bot, pot, dog, hospital",a,AA,Short Vowel,2,OPEN_FRONT_VOWEL
ɑː,ɑ,A,long open-back unrounded vowel,father,a,"a, o","start, art, palm, spa, lot, stop, hard, park, article",a ,AA ,Long Vowel,nan,OPEN_FRONT_VOWEL
aʊ,aʊ,aU,diphthong,mouth,a,"ow, ou, ough","now, shout, bough, bout, mouse, brown, accountant",W,AW,Diphthong Vowel,9,OPEN_FRONT_VOWEL
aɪ,,aI,diphthong,price,a,"i, y, igh, ie, uy, ye, ai, is, eigh, i_e","spider, sky, night, pie, guy, stye, aisle, island, height, kite, bite, find, bite, tiger",Y,AY,Diphthong Vowel,11,OPEN_FRONT_VOWEL
ɛ,e,E,open mid-front unrounded vowel,dress,E,"e, ea, u, ie, ai, a, eo, ei, ae","end, bread, bury, friend, said, many, leopard, heifer, aesthetic, bet, pet sent, attention",E,EH,Short Vowel,4,OPEN_FRONT_VOWEL
ʌ,,V,open-mid-back unrounded vowel,strut,E,"u, o, oo, ou","lug, monkey, blood, double, butt, cut, jump, cover",A,AH,Short Vowel,1,OPEN_FRONT_VOWEL
ɜː,ɝ,3,long open mid-central unrounded vowel,nurse,E,"ir, er, ur, ear, or, our, yr","bird, term, burn, pearl, word, journey, myrtle, bird, foreword, heard, surface",R,ER,Long Vowel,nan,OPEN_FRONT_VOWEL
eə,eə,E@,diphthong,square,E,"air, are, ear, ere, eir, ayer","chair, dare, pear, where, their, prayer, care, wear, declare",,,Diphthong Vowel,nan,OPEN_FRONT_VOWEL
